name,Age,selling_price,km_driven,fuel,seller_type,transmission,owner
Toyota Fortuner 4x2 AT,6,2600000,47162,Diesel,Trustmark Dealer,Automatic,0
Maruti S-Cross Zeta DDiS 200 SH,8,750000,45974,Diesel,Trustmark Dealer,Manual,0
Hyundai i10 Magna,11,229999,49824,Petrol,Dealer,Manual,0
Audi A6 2.0 TDI Premium Plus,10,1300000,58500,Diesel,Dealer,Automatic,0
Hyundai Santro GS,18,80000,56580,Petrol,Dealer,Manual,0
Skoda Laura Ambiente 2.0 TDI CR MT,11,385000,52000,Diesel,Dealer,Manual,0
Hyundai Verna 1.6 VTVT SX,8,760000,55340,Petrol,Trustmark Dealer,Manual,0
Maruti Swift Dzire VDI,6,600000,46507,Diesel,Trustmark Dealer,Manual,0
Volkswagen Jetta 2.0L TDI Highline AT,11,735000,55300,Diesel,Dealer,Automatic,0
Tata Indica Vista Quadrajet 90 VX,11,285000,74300,Diesel,Dealer,Manual,0
Honda City VX MT,13,350000,48781,Petrol,Dealer,Manual,0
Volkswagen Jetta 1.9 Highline TDI,13,290000,87620,Diesel,Dealer,Automatic,0
Volkswagen Vento 1.5 TDI Highline Plus AT,6,890000,40219,Diesel,Dealer,Automatic,0
Honda Jazz VX,12,385000,11473,Petrol,Dealer,Manual,0
Maruti Eeco 5 Seater AC BSIV,6,425000,8352,Petrol,Dealer,Manual,0
Maruti Wagon R VXI AMT1.2BSIV,6,525000,9745,Petrol,Dealer,Automatic,0
Hyundai Grand i10 Asta,6,550000,9748,Petrol,Dealer,Manual,0
Volkswagen Polo 1.0 MPI Trendline,11,271000,49000,Petrol,Dealer,Manual,0
Hyundai Creta 1.6 CRDi SX Option,5,1490000,20694,Diesel,Dealer,Manual,0
Hyundai Grand i10 Asta Option,8,490000,31080,Petrol,Dealer,Manual,0
Hyundai EON Era Plus,9,260000,37605,Petrol,Dealer,Manual,0
Hyundai Xcent 1.1 CRDi SX Option,9,455000,55850,Diesel,Dealer,Manual,0
Tata Nano Lx BSIV,13,75000,58850,Petrol,Dealer,Manual,0
Toyota Etios Cross 1.2L G,8,421000,23839,Petrol,Dealer,Manual,0
Maruti Swift DDiS LDI,7,550000,54000,Diesel,Dealer,Manual,0
Hyundai i10 Sportz 1.2 AT,10,330000,38000,Petrol,Dealer,Automatic,0
Volkswagen Vento 1.5 TDI Comfortline,11,390000,45454,Diesel,Dealer,Manual,0
Skoda Rapid 1.5 TDI AT Ambition,8,599000,46957,Diesel,Dealer,Automatic,0
Hyundai Getz GLE,16,110000,60000,Petrol,Individual,Manual,1
Renault KWID RXT Optional,7,250000,25000,Petrol,Individual,Manual,0
Mahindra Scorpio M2DI,11,600000,110000,Diesel,Individual,Manual,1
Ford Endeavour XLT TDCi 4X2,15,280000,190000,Diesel,Individual,Manual,1
Audi Q3 35 TDI Quattro Technology,5,2700000,25000,Diesel,Individual,Automatic,0
Mahindra Renault Logan 1.4 GLX Petrol,15,80000,90000,Petrol,Individual,Manual,0
Maruti Alto K10 VXI,4,350000,5000,Petrol,Individual,Manual,0
Maruti Swift VDI BSIV,8,475000,60000,Diesel,Individual,Manual,0
Audi A5 Sportback,3,4700000,1500,Diesel,Individual,Automatic,0
Maruti Swift Dzire VDI,5,500000,50000,Diesel,Individual,Manual,0
Chevrolet Sail Hatchback 1.3 TCDi LT ABS,9,250000,120000,Diesel,Individual,Manual,0
Hyundai Accent CRDi,18,100000,120000,Diesel,Individual,Manual,1
Maruti Alto K10 VXI Airbag,4,350000,5000,Petrol,Individual,Manual,0
BMW 7 Series Signature 730Ld,9,4000000,47000,Diesel,Individual,Automatic,0
Toyota Camry 2.5 Hybrid,6,1900000,20000,Petrol,Individual,Automatic,0
Hyundai Santro Xing XG,18,95000,120000,Petrol,Individual,Manual,1
Hyundai Grand i10 CRDi Sportz,8,409999,58000,Diesel,Individual,Manual,0
Mahindra XUV500 W5 BSIV,5,1050000,35000,Diesel,Individual,Manual,0
Maruti Alto K10 VXI,6,320000,30000,Petrol,Individual,Manual,0
Mahindra XUV300 W8 Option Diesel BSIV,4,1000000,10000,Diesel,Individual,Manual,0
Toyota Innova Crysta 2.4 VX MT BSIV,6,1770000,25000,Diesel,Individual,Manual,0
Mahindra Thar CRDe,5,950000,20000,Diesel,Individual,Manual,0
Maruti Swift Dzire ZDI,5,750000,50000,Diesel,Individual,Manual,0
Hyundai EON Magna Plus,9,220000,42000,Petrol,Individual,Manual,0
Tata Hexa XM,6,1000000,50000,Diesel,Individual,Manual,0
Honda Mobilio E i DTEC,6,660000,116000,Diesel,Individual,Manual,0
Maruti Ertiga ZDI,8,716000,100000,Diesel,Individual,Manual,0
Maruti Ciaz ZXi Plus,8,675000,66000,Petrol,Individual,Manual,0
Mahindra Scorpio LX,13,385000,110000,Diesel,Individual,Manual,1
Fiat Grande Punto EVO 1.3 Dynamic,9,325000,70000,Diesel,Individual,Manual,0
Hyundai Creta 1.6 CRDi SX Option,8,950000,60000,Diesel,Individual,Manual,0
Ford Endeavour Hurricane Limited Edition,16,400000,110000,Diesel,Individual,Automatic,1
Tata Indica Vista TDI LS,9,250000,25000,Diesel,Individual,Manual,0
Land Rover Discovery S 2.0 SD4,5,4000000,68000,Petrol,Individual,Automatic,0
Maruti Alto 800 LXI,9,210000,20000,Petrol,Individual,Manual,0
Hyundai i10 Era 1.1 iTech SE,12,147000,110000,Petrol,Individual,Manual,1
Maruti Vitara Brezza VDi Option,5,725000,26350,Diesel,Individual,Manual,0
Mahindra Scorpio SLE BSIV,11,550000,90000,Diesel,Individual,Manual,0
Hyundai i20 Sportz Option 1.2,7,475000,25000,Petrol,Individual,Manual,0
Hyundai Santro Xing GLS,9,250000,50000,Petrol,Individual,Manual,1
Tata Indica LSI,17,70000,60000,Petrol,Individual,Manual,1
Hyundai EON Era Plus,11,160000,70000,Petrol,Individual,Manual,1
Ford Endeavour 3.0L 4X4 AT,12,1000000,90000,Diesel,Individual,Automatic,1
Hyundai Santro LE zipPlus,22,68000,70000,Petrol,Individual,Manual,0
Hyundai Grand i10 1.2 Kappa Asta,6,500000,26500,Petrol,Individual,Manual,0
Tata Indigo CR4,10,170000,60000,Diesel,Individual,Manual,0
Mahindra Scorpio S11 BSIV,5,1300000,35000,Diesel,Individual,Manual,0
Hyundai Creta 1.4 EX Diesel,3,1050000,10000,Diesel,Individual,Manual,0
Maruti Ritz LXI,14,300000,15000,Petrol,Individual,Manual,0
Hyundai i20 Magna 1.2,7,600000,25000,Petrol,Individual,Manual,0
Hyundai Verna CRDi 1.6 SX,6,900000,50000,Diesel,Individual,Manual,0
Hyundai Grand i10 1.2 Kappa Sportz BSIV,4,550000,25000,Petrol,Individual,Manual,0
Maruti Alto LX,16,100000,52000,Petrol,Individual,Manual,1
Honda Brio 1.2 S MT,6,400000,15000,Petrol,Individual,Manual,0
Tata Nano Lx,12,120000,20000,Petrol,Individual,Manual,0
Hyundai i20 Asta 1.4 CRDi,10,300000,90000,Diesel,Individual,Manual,0
Tata Indigo LX,12,140000,60000,Diesel,Individual,Manual,1
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,8,640000,23000,Petrol,Individual,Manual,0
Maruti Alto K10 VXI,5,380000,22155,Petrol,Individual,Manual,0
Tata Nano Lx,12,120000,20000,Petrol,Individual,Manual,0
Maruti Ciaz 1.4 Delta,5,650000,70000,Petrol,Individual,Manual,0
Maruti Alto LX,14,150000,60000,Petrol,Individual,Manual,1
Ford Figo Aspire 1.2 Ti-VCT Trend,5,550000,35000,Petrol,Individual,Manual,0
Mahindra XUV500 W8 4WD,11,650000,71042,Diesel,Dealer,Manual,0
Mitsubishi Pajero Sport 4X4,11,1025000,167870,Diesel,Dealer,Manual,1
Ford Fiesta 1.5 TDCi Titanium,12,195000,133564,Diesel,Dealer,Manual,0
Mercedes-Benz C-Class Progressive C 220d,5,3800000,10000,Diesel,Dealer,Automatic,0
BMW 3 Series 320d Sport,10,1490000,40000,Diesel,Dealer,Automatic,0
BMW X5 xDrive 30d xLine,4,4950000,30000,Diesel,Dealer,Automatic,0
Honda City i-VTEC CVT ZX,5,1140000,23038,Petrol,Trustmark Dealer,Automatic,0
Chevrolet Beat Diesel LS,12,95000,70000,Diesel,Individual,Manual,0
BMW 3 Series GT Luxury Line,6,3050000,30000,Diesel,Individual,Automatic,0
Hyundai Grand i10 1.2 Kappa Magna AT,6,550000,19890,Petrol,Dealer,Automatic,0
Maruti Ertiga VXI,8,625000,11918,Petrol,Trustmark Dealer,Manual,0
Hyundai Grand i10 Magna AT,6,520000,10510,Petrol,Dealer,Automatic,0
Chevrolet Beat LT Option,7,239000,41000,Petrol,Dealer,Manual,0
Toyota Fortuner 4x2 AT,6,2600000,47162,Diesel,Trustmark Dealer,Automatic,0
Hyundai i10 Magna,11,229999,49824,Petrol,Dealer,Manual,0
Audi A6 2.0 TDI Premium Plus,10,1300000,58500,Diesel,Dealer,Automatic,0
Maruti Baleno Delta 1.2,6,585000,43608,Petrol,Trustmark Dealer,Manual,0
Maruti Baleno Alpha CVT,5,825000,11212,Petrol,Trustmark Dealer,Automatic,0
Hyundai i20 1.4 Magna Executive,10,280000,52000,Diesel,Dealer,Manual,0
Maruti Baleno Zeta,7,725000,49217,Petrol,Trustmark Dealer,Manual,0
Mahindra Verito 1.5 D4 BSIV,8,300000,90000,Diesel,Individual,Manual,0
Hyundai Xcent 1.2 Kappa S,8,375000,70000,Petrol,Individual,Manual,0
Honda City VTEC,20,310000,90000,Petrol,Individual,Manual,1
Maruti Swift Dzire VDi,12,375000,190000,Diesel,Individual,Manual,1
Ford Endeavour 3.2 Titanium AT 4X4,7,1950000,106000,Diesel,Individual,Automatic,0
Tata Xenon XT EX 4X2,11,400000,80000,Diesel,Individual,Manual,1
Nissan Terrano XL Plus 85 PS,9,550000,80000,Diesel,Individual,Manual,1
Maruti Eeco 7 Seater Standard BSIV,5,270000,20000,Petrol,Individual,Manual,0
Maruti Ertiga ZDI,11,555000,110000,Diesel,Individual,Manual,1
Ford Ecosport 1.5 DV5 MT Ambiente,10,500000,60000,Diesel,Individual,Manual,1
Skoda Laura Elegance 1.9 TDI  AT,13,400000,130000,Diesel,Individual,Automatic,1
Hyundai EON 1.0 Era Plus,6,280000,28838,Petrol,Individual,Manual,0
Tata Indica GLS BS IV,15,80000,200000,Petrol,Individual,Manual,0
Tata Indica DLS,17,55000,100000,Diesel,Individual,Manual,0
Maruti Alto 800 LXI Airbag,9,250000,50000,Petrol,Individual,Manual,0
Mahindra Bolero SLX 2WD,13,250000,190000,Diesel,Individual,Manual,1
Mahindra Jeep MM 540,16,95000,100000,Diesel,Individual,Manual,1
Mahindra Scorpio 1.99 S10,9,725000,135000,Diesel,Individual,Manual,1
Mahindra Bolero Power Plus Plus AC BSIV PS,8,320000,50000,Diesel,Individual,Manual,1
Skoda Octavia Elegance 2.0 TDI AT,9,1200000,135000,Diesel,Individual,Automatic,1
Chevrolet Beat Diesel LS,11,160000,50000,Diesel,Individual,Manual,0
Honda Jazz 1.5 VX i DTEC,5,790000,19571,Diesel,Dealer,Manual,0
Honda City i-VTEC ZX,5,1200000,29600,Petrol,Dealer,Manual,0
Maruti Swift LXI,12,175000,70000,Petrol,Individual,Manual,0
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,5,950000,15000,Diesel,Individual,Automatic,0
Maruti Celerio LXI MT BSIV,4,340000,50000,Petrol,Individual,Manual,0
Renault Captur 1.5 Diesel RXT,6,825000,13500,Diesel,Individual,Manual,0
Audi A4 30 TFSI Technology,5,3100000,22000,Petrol,Individual,Automatic,0
Honda Amaze VX Diesel BSIV,5,780000,25000,Diesel,Dealer,Manual,0
Toyota Corolla Altis 1.8 VL AT,13,350000,80000,Petrol,Individual,Automatic,1
Honda Amaze VX Petrol BSIV,5,690000,39000,Petrol,Dealer,Manual,0
Maruti Alto 800 VXI,7,245000,60000,Petrol,Individual,Manual,0
Honda Amaze VX Diesel BSIV,5,790000,49000,Diesel,Dealer,Manual,0
Honda Amaze VX i-VTEC,5,680000,48600,Petrol,Dealer,Manual,0
Hyundai Grand i10 Asta Option,6,540000,20000,Petrol,Individual,Manual,1
Mahindra KUV 100 mFALCON G80 K2,7,425000,25000,Petrol,Individual,Manual,0
Maruti Zen Estilo Sports,15,140000,120000,Petrol,Individual,Manual,0
Maruti Ertiga ZDI Plus,4,1100000,30000,Diesel,Individual,Manual,0
Renault Lodgy 85PS RxL,8,715000,35000,Diesel,Individual,Manual,0
Audi A4 3.0 TDI Quattro,10,1580000,86000,Diesel,Dealer,Automatic,0
Audi Q3 2.0 TDI Quattro Premium Plus,8,1750000,127643,Diesel,Dealer,Automatic,0
Tata Zest Revotron 1.2T XMS,5,400000,54000,Petrol,Dealer,Manual,1
Audi A6 2.0 TDI  Design Edition,9,1750000,102354,Diesel,Dealer,Automatic,0
Audi Q5 2.0 TFSI Quattro Premium Plus,9,1850000,62237,Petrol,Dealer,Automatic,0
Hyundai Santro Xing XL eRLX Euro III,18,114999,90000,Petrol,Dealer,Manual,1
Ford EcoSport 1.5 TDCi Titanium BSIV,5,950000,21394,Diesel,Dealer,Manual,0
Datsun GO T Petrol,8,310000,32686,Petrol,Dealer,Manual,0
Mahindra Jeep CJ 500 DI,17,575000,1001,Diesel,Dealer,Manual,0
Renault Pulse RxZ,6,490000,22000,Diesel,Dealer,Manual,0
Hyundai Grand i10 Magna,6,480000,53261,Petrol,Dealer,Manual,0
Land Rover Discovery Sport SD4 HSE Luxury,7,3500000,53000,Diesel,Dealer,Automatic,0
Renault KWID 1.0 RXT Optional,5,370000,10000,Petrol,Dealer,Manual,0
Maruti Baleno Alpha 1.3,6,835000,14000,Diesel,Dealer,Manual,0
Volkswagen Polo 2015-2019 1.2 MPI Highline,6,650000,44000,Petrol,Dealer,Manual,0
Toyota Etios VD,9,670000,39895,Diesel,Dealer,Manual,0
Chevrolet Cruze LTZ AT,6,950000,73000,Diesel,Dealer,Automatic,0
Honda City i-VTEC SV,9,690000,17000,Petrol,Dealer,Manual,0
Volkswagen Polo 2015-2019 1.2 MPI Highline,6,670000,18591,Petrol,Dealer,Manual,0
Tata Nexon 1.5 Revotorq XZ,6,925000,26766,Diesel,Dealer,Manual,0
Hyundai EON Magna Plus,8,250000,30000,Petrol,Individual,Manual,0
Tata Sumo Gold EX,7,509999,42000,Diesel,Individual,Manual,0
Honda City i DTEC VX,9,520000,110000,Diesel,Individual,Manual,0
Tata Indica DLE,18,100000,100000,Diesel,Individual,Manual,0
Tata Indica DLS,17,85000,300000,Diesel,Individual,Manual,1
Tata Indigo LX,14,130000,110000,Diesel,Individual,Manual,1
Ford EcoSport 1.5 TDCi Titanium BSIV,5,950000,27620,Diesel,Dealer,Manual,0
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,8,450000,70000,Petrol,Individual,Manual,0
Honda City S,11,320000,50000,Petrol,Individual,Manual,1
Maruti Swift Dzire VDI,8,480000,50000,Diesel,Individual,Manual,0
Mercedes-Benz New C-Class C 220 CDI Grand Edition,9,2490000,46000,Diesel,Individual,Automatic,0
Toyota Innova 2.5 VX 8 STR,11,790000,82000,Diesel,Individual,Manual,0
Maruti Omni MPI STD BSIV,7,120000,120000,Petrol,Individual,Manual,0
Maruti Alto LXi,17,75000,80000,Petrol,Individual,Manual,1
Tata Indica GLS BS IV,13,99000,70000,Petrol,Individual,Manual,0
Maruti S-Cross Zeta DDiS 200 SH,5,1015000,20000,Diesel,Individual,Manual,0
Mahindra Xylo D4 BSIV,10,250000,200000,Diesel,Individual,Manual,1
Toyota Innova Crysta 2.5 VX BS IV,12,520000,120000,Diesel,Individual,Manual,0
Hyundai Verna CRDi 1.6 AT SX Option,5,1100000,30000,Diesel,Individual,Automatic,0
Toyota Innova 2.5 V Diesel 7-seater,18,200000,223000,Diesel,Individual,Manual,0
Maruti Swift Dzire VDI,7,525000,60000,Diesel,Individual,Manual,0
Hyundai i20 Asta 1.2,7,500000,40000,Petrol,Individual,Manual,0
Mahindra Scorpio S2 7 Seater,7,675000,161327,Diesel,Individual,Manual,0
Hyundai i10 Magna 1.2 iTech SE,14,150000,60000,Petrol,Individual,Manual,1
Mahindra Bolero DI,16,250000,50000,Diesel,Individual,Manual,0
Hyundai Grand i10 1.2 Kappa Sportz BSIV,5,450000,6000,Petrol,Individual,Manual,0
Hyundai Santro Xing XS,14,150000,68000,Petrol,Individual,Manual,1
Chevrolet Beat Diesel LS,11,200000,85000,Diesel,Individual,Manual,0
Mahindra Scorpio VLS AT 2.2 mHAWK,12,525000,70000,Diesel,Individual,Automatic,0
Maruti Esteem VX,24,60000,35000,Petrol,Individual,Manual,1
Maruti Swift Vdi BSIII,13,180000,100000,Diesel,Individual,Manual,1
Honda Amaze S i-Dtech,8,475000,110000,Diesel,Individual,Manual,0
Mahindra Scorpio VLS AT 2.2 mHAWK,13,380000,195000,Diesel,Individual,Automatic,1
Maruti Alto 800 LXI,8,285000,46000,Petrol,Individual,Manual,1
Maruti Alto LXi BSIII,15,91200,60000,Petrol,Individual,Manual,1
Datsun RediGO T Option,6,250000,46000,Petrol,Individual,Manual,0
Hyundai Grand i10 CRDi Sportz,8,400000,42000,Diesel,Individual,Manual,0
Hyundai Santro Xing XG AT,17,160000,90000,Petrol,Individual,Automatic,1
Skoda Yeti Ambition 4X2,11,650000,85000,Diesel,Individual,Manual,1
Hyundai Verna 1.6 SX,11,409999,120000,Diesel,Individual,Manual,1
Ford Ecosport 1.5 DV5 MT Titanium,10,425000,72000,Diesel,Individual,Manual,0
Maruti Wagon R LXI CNG,10,250000,71000,Other,Individual,Manual,1
Maruti Swift Dzire VXi,14,200000,110000,Petrol,Individual,Manual,1
Maruti Wagon R LXI CNG,10,250000,71000,Other,Individual,Manual,1
Volkswagen Polo Diesel Trendline 1.2L,13,130000,144000,Diesel,Individual,Manual,1
Maruti Eeco 5 Seater AC BSIV,6,260000,30000,Petrol,Dealer,Manual,0
Hyundai Verna SX,16,155000,65000,Petrol,Dealer,Manual,0
Honda Jazz 1.5 VX i DTEC,8,450000,38000,Diesel,Individual,Manual,0
Maruti SX4 Celebration Petrol,11,220000,90000,Petrol,Individual,Manual,1
Hyundai i20 Active S Diesel,5,650000,37000,Diesel,Dealer,Manual,0
Maruti Alto 800 LXI,5,285000,30000,Petrol,Dealer,Manual,0
Honda Amaze V CVT Petrol BSIV,5,725000,26000,Petrol,Dealer,Automatic,0
Maruti Ciaz ZXi,7,625000,30000,Petrol,Dealer,Manual,0
Hyundai i20 Active SX Petrol,7,550000,23000,Petrol,Dealer,Manual,0
Hyundai i10 Magna,11,240000,40000,Petrol,Dealer,Manual,0
Nissan Terrano XL 85 PS,9,600000,27000,Diesel,Dealer,Manual,0
Tata New Safari DICOR 2.2 EX 4x2,11,350000,65000,Diesel,Dealer,Manual,0
Hyundai EON Magna Plus,8,245000,32000,Petrol,Dealer,Manual,0
Mahindra Bolero B6,7,600000,56000,Diesel,Dealer,Manual,0
BMW X1 sDrive 20d xLine,6,2400000,30000,Diesel,Individual,Automatic,0
Mahindra Scorpio SLE BS IV,9,620000,80000,Diesel,Dealer,Manual,0
Maruti Swift Dzire 1.2 Vxi BSIV,9,395000,52000,Petrol,Dealer,Manual,1
Maruti Ertiga ZXI,9,635000,13250,Petrol,Dealer,Manual,0
Maruti Alto LX,12,180000,36000,Petrol,Dealer,Manual,0
Maruti Swift ZDI Plus,8,484999,73000,Diesel,Dealer,Manual,1
Maruti Alto LX,19,110000,60000,Petrol,Individual,Manual,0
Maruti Wagon R VXI BSIII,17,150000,60000,Petrol,Individual,Manual,1
Chevrolet Tavera Neo 2 LT L 9 Str,11,400000,110000,Diesel,Individual,Manual,0
Tata Indica Vista Aura Plus 1.3 Quadrajet,11,200000,70000,Diesel,Individual,Manual,1
Renault Duster 85PS Diesel RxL Plus,10,302000,60000,Diesel,Individual,Manual,1
Maruti Swift Dzire Vdi BSIV,12,215000,90000,Diesel,Individual,Manual,1
Maruti Wagon R VXI BSIII,19,155000,80000,Petrol,Individual,Manual,1
Toyota Innova 2.5 G (Diesel) 8 Seater,9,1000000,101000,Diesel,Individual,Manual,1
Mahindra Bolero Power Plus SLX,5,550000,44000,Diesel,Individual,Manual,0
Maruti Swift 1.3 VXi,17,200000,45000,Petrol,Individual,Manual,0
Mahindra Scorpio S2 7 Seater,6,750000,120000,Diesel,Individual,Manual,0
Maruti Zen LXI,18,90000,90000,Petrol,Individual,Manual,1
Maruti Wagon R LXI Minor,16,80000,120000,Petrol,Individual,Manual,1
Hyundai EON D Lite Plus,10,229999,13500,Petrol,Individual,Manual,0
Renault KWID 1.0 RXT Optional,6,350000,10000,Petrol,Individual,Manual,0
Hyundai Grand i10 Magna,8,325000,25000,Petrol,Individual,Manual,1
Tata Tigor 1.2 Revotron XT,5,450000,8500,Petrol,Individual,Manual,0
Maruti SX4 Celebration Diesel,11,250000,120000,Diesel,Individual,Manual,0
Volkswagen Polo Diesel Comfortline 1.2L,11,225000,120000,Diesel,Individual,Manual,0
Maruti Alto LXi,14,150000,90246,Petrol,Individual,Manual,1
Maruti Alto LX BSIII,15,110000,90000,Petrol,Individual,Manual,1
Maruti Alto LXi BSIII,13,150000,40000,Petrol,Individual,Manual,1
Maruti Gypsy King Hard Top,23,165000,60000,Petrol,Individual,Manual,1
Renault Duster 85PS Diesel RxL,6,610000,32000,Diesel,Individual,Manual,1
Tata Manza Club Class Quadrajet90 VX,10,170000,60400,Diesel,Individual,Manual,0
Hyundai Verna CRDi,15,150000,70950,Diesel,Individual,Manual,1
Hyundai i20 Asta 1.4 CRDi,10,300000,90000,Diesel,Individual,Manual,0
Hyundai Xcent 1.1 CRDi Base,8,375000,72000,Diesel,Individual,Manual,0
Maruti Swift VDI,10,390000,90000,Diesel,Individual,Manual,0
Hyundai i20 Active 1.2 S,6,600000,10000,Petrol,Individual,Manual,0
Maruti Alto 800 LXI,9,204999,25000,Petrol,Individual,Manual,1
Hyundai Verna CRDi,14,270000,80000,Diesel,Individual,Manual,1
Hyundai Grand i10 Sportz,6,375000,10000,Petrol,Individual,Manual,0
Maruti Baleno Zeta,3,700000,1100,Petrol,Individual,Manual,0
Maruti Swift VXI Deca,6,455000,40000,Petrol,Individual,Manual,0
Hyundai i10 Sportz 1.1L,6,375000,10000,Petrol,Individual,Manual,0
Hyundai Grand i10 Asta,9,341000,31491,Petrol,Individual,Manual,0
Maruti Swift Dzire VDI,9,200000,107143,Diesel,Individual,Manual,1
Maruti Ignis 1.2 AMT Delta BSIV,6,450000,15000,Petrol,Individual,Automatic,0
Hyundai Santro Xing GL Plus,11,170000,50000,Petrol,Individual,Manual,1
Toyota Innova Crysta 2.4 VX MT 8S BSIV,6,1900000,100000,Diesel,Individual,Manual,0
Mahindra Bolero Power Plus LX,7,500000,60000,Diesel,Individual,Manual,0
Maruti Vitara Brezza ZDi Plus,7,819999,85000,Diesel,Individual,Manual,0
Maruti Swift 1.2 DLX,9,351000,40000,Petrol,Individual,Manual,1
Hyundai i10 Magna 1.2 iTech SE,12,195000,80000,Petrol,Individual,Manual,1
Maruti Swift Dzire VDi,15,250000,82000,Diesel,Individual,Manual,1
Maruti Zen Estilo 1.1 VXI BSIII,15,120000,70000,Petrol,Individual,Manual,1
Maruti A-Star Vxi,14,180000,70000,Petrol,Individual,Manual,1
Mahindra KUV 100 mFALCON D75 K6,7,430000,20000,Diesel,Individual,Manual,0
Tata Nano Cx BSIV,11,75000,35000,Petrol,Individual,Manual,1
Mahindra Xylo D4,6,750000,80000,Diesel,Individual,Manual,0
Tata Nano Lx,12,60000,40000,Petrol,Individual,Manual,0
Toyota Innova 2.5 VX (Diesel) 8 Seater,8,1500000,46412,Diesel,Individual,Manual,0
Mahindra Bolero SLX 2WD BSIII,12,390000,150000,Diesel,Individual,Manual,1
Mahindra TUV 300 T4,7,630000,50000,Diesel,Individual,Manual,0
Tata Safari Storme VX Varicor 400,5,1085000,15000,Diesel,Individual,Manual,0
Hyundai i10 Magna 1.2 iTech SE,11,190000,60000,Petrol,Individual,Manual,1
Maruti Baleno Delta Automatic,5,550000,25000,Petrol,Individual,Automatic,0
Maruti Alto 800 LXI,11,200000,90000,Petrol,Individual,Manual,1
Chevrolet Spark 1.0 LT,12,165000,60000,Petrol,Individual,Manual,0
Ford Figo Diesel Celebration Edition,10,260000,65000,Diesel,Individual,Manual,0
Maruti Alto LX,12,151000,40000,Petrol,Individual,Manual,0
Maruti Vitara Brezza VDi,5,780000,50000,Diesel,Individual,Manual,0
Tata Indica Vista Quadrajet LX,11,175000,80000,Diesel,Individual,Manual,1
Tata Indica Vista TDI LS,13,170000,107500,Diesel,Dealer,Manual,0
Tata Indica Vista TDI LS,10,210000,135000,Diesel,Dealer,Manual,1
Maruti Alto LXi,16,90000,43826,Petrol,Dealer,Manual,1
Hyundai i20 Active S Petrol,7,535000,55838,Petrol,Dealer,Manual,0
Maruti Swift VDI BSIV,16,195000,112880,Diesel,Dealer,Manual,0
Tata Indica Vista Terra Quadrajet 1.3L,12,140000,90000,Diesel,Individual,Manual,1
Nissan Sunny XL,11,350000,40000,Petrol,Individual,Manual,0
Hyundai Verna 1.6 SX VTVT (O),10,425000,66000,Petrol,Individual,Manual,0
Renault KWID 1.0 RXT Optional,6,300000,30300,Petrol,Individual,Manual,0
Volkswagen Vento Diesel Style Limited Edition,10,340000,85000,Diesel,Individual,Manual,1
Maruti Swift Dzire VXi,14,250000,80659,Petrol,Dealer,Manual,0
Chevrolet Aveo 1.4 LS,15,170000,81324,Petrol,Dealer,Manual,0
Honda Amaze S i-Dtech,10,315000,127884,Diesel,Dealer,Manual,0
Chevrolet Beat PS,8,200000,50000,Petrol,Individual,Manual,0
Chevrolet Beat PS,7,300000,25000,Petrol,Individual,Manual,0
Honda Amaze S i-Dtech,8,300000,66755,Diesel,Dealer,Manual,0
Honda City E,10,380000,123084,Petrol,Dealer,Manual,0
Maruti Swift VXI BSIII,14,250000,806599,Petrol,Dealer,Manual,0
Honda Amaze S i-Dtech,10,310000,95851,Diesel,Dealer,Manual,0
Maruti Wagon R VXI Minor ABS,13,260000,50000,Petrol,Individual,Manual,0
Maruti Omni BSIII 8-STR W/ IMMOBILISER,15,150000,50000,Petrol,Individual,Manual,1
Maruti Esteem Vxi - BSIII,17,85000,60000,Petrol,Individual,Manual,1
Maruti Alto 800 LXI,8,280000,15000,Petrol,Individual,Manual,1
Mahindra Xylo H4 ABS,7,850000,40000,Diesel,Individual,Manual,0
Datsun GO Plus T Option BSIV,6,375000,20000,Petrol,Individual,Manual,1
Hyundai Elantra CRDi (Leather Option),17,125000,120000,Diesel,Individual,Manual,1
Chevrolet Beat Diesel LT,11,250000,110000,Diesel,Individual,Manual,0
Toyota Corolla Altis D-4D J,9,715000,234000,Diesel,Individual,Manual,0
Hyundai i20 1.4 CRDi Era,12,220000,70000,Diesel,Individual,Manual,0
Tata Indica Vista Aqua 1.3 Quadrajet,13,110000,110000,Diesel,Individual,Manual,1
Hyundai Verna XXi (Petrol),16,150000,84000,Petrol,Individual,Manual,1
Nissan Sunny Diesel XV,11,300000,170000,Diesel,Individual,Manual,0
Datsun RediGO T Option,6,220000,40000,Petrol,Individual,Manual,0
Maruti Wagon R LX,17,75000,96000,Petrol,Individual,Manual,1
Tata Indigo LS,14,100000,20000,Diesel,Individual,Manual,0
Ford Figo Aspire 1.2 Ti-VCT Trend,7,380000,15000,Petrol,Individual,Manual,0
Hyundai Santro Xing XK (Non-AC),16,100000,50000,Petrol,Individual,Manual,0
Volkswagen Passat 1.8 TSI MT,13,480000,80000,Petrol,Individual,Manual,1
Toyota Etios GD,11,300000,124000,Diesel,Individual,Manual,0
Chevrolet Beat Diesel LS,10,190000,70000,Diesel,Individual,Manual,0
