name,owner,Age,selling_price,km_driven,fuel_Diesel,fuel_Petrol,seller_type_Dealer,seller_type_Individual,transmission_Manual
Ford Endeavour 3.0L 4X4 AT,1,12,1000000,90000,1,0,0,1,0
Hyundai Santro LE zipPlus,0,22,68000,70000,0,1,0,1,1
Hyundai Grand i10 1.2 Kappa Asta,0,6,500000,26500,0,1,0,1,1
Tata Indigo CR4,0,10,170000,60000,1,0,0,1,1
Mahindra Scorpio S11 BSIV,0,5,1300000,35000,1,0,0,1,1
Hyundai Creta 1.4 EX Diesel,0,3,1050000,10000,1,0,0,1,1
Maruti Ritz LXI,0,14,300000,15000,0,1,0,1,1
Hyundai i20 Magna 1.2,0,7,600000,25000,0,1,0,1,1
Hyundai Verna CRDi 1.6 SX,0,6,900000,50000,1,0,0,1,1
Hyundai Grand i10 1.2 Kappa Sportz BSIV,0,4,550000,25000,0,1,0,1,1
Maruti Alto LX,1,16,100000,52000,0,1,0,1,1
Honda Brio 1.2 S MT,0,6,400000,15000,0,1,0,1,1
Tata Nano Lx,0,12,120000,20000,0,1,0,1,1
Hyundai i20 Asta 1.4 CRDi,0,10,300000,90000,1,0,0,1,1
Tata Indigo LX,1,12,140000,60000,1,0,0,1,1
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,0,8,640000,23000,0,1,0,1,1
Maruti Alto K10 VXI,0,5,380000,22155,0,1,0,1,1
Tata Nano Lx,0,12,120000,20000,0,1,0,1,1
Maruti Ciaz 1.4 Delta,0,5,650000,70000,0,1,0,1,1
Maruti Alto LX,1,14,150000,60000,0,1,0,1,1
Ford Figo Aspire 1.2 Ti-VCT Trend,0,5,550000,35000,0,1,0,1,1
Mahindra XUV500 W8 4WD,0,11,650000,71042,1,0,1,0,1
Mitsubishi Pajero Sport 4X4,1,11,1025000,167870,1,0,1,0,1
Ford Fiesta 1.5 TDCi Titanium,0,12,195000,133564,1,0,1,0,1
Mercedes-Benz C-Class Progressive C 220d,0,5,3800000,10000,1,0,1,0,0
BMW 3 Series 320d Sport,0,10,1490000,40000,1,0,1,0,0
BMW X5 xDrive 30d xLine,0,4,4950000,30000,1,0,1,0,0
Honda City i-VTEC CVT ZX,0,5,1140000,23038,0,1,0,0,0
Chevrolet Beat Diesel LS,0,12,95000,70000,1,0,0,1,1
BMW 3 Series GT Luxury Line,0,6,3050000,30000,1,0,0,1,0
Hyundai Grand i10 1.2 Kappa Magna AT,0,6,550000,19890,0,1,1,0,0
Maruti Ertiga VXI,0,8,625000,11918,0,1,0,0,1
Hyundai Grand i10 Magna AT,0,6,520000,10510,0,1,1,0,0
Chevrolet Beat LT Option,0,7,239000,41000,0,1,1,0,1
Toyota Fortuner 4x2 AT,0,6,2600000,47162,1,0,0,0,0
Hyundai i10 Magna,0,11,229999,49824,0,1,1,0,1
Audi A6 2.0 TDI Premium Plus,0,10,1300000,58500,1,0,1,0,0
Maruti Baleno Delta 1.2,0,6,585000,43608,0,1,0,0,1
Maruti Baleno Alpha CVT,0,5,825000,11212,0,1,0,0,0
Hyundai i20 1.4 Magna Executive,0,10,280000,52000,1,0,1,0,1
Maruti Baleno Zeta,0,7,725000,49217,0,1,0,0,1
Mahindra Verito 1.5 D4 BSIV,0,8,300000,90000,1,0,0,1,1
Hyundai Xcent 1.2 Kappa S,0,8,375000,70000,0,1,0,1,1
Honda City VTEC,1,20,310000,90000,0,1,0,1,1
Maruti Swift Dzire VDi,1,12,375000,190000,1,0,0,1,1
Ford Endeavour 3.2 Titanium AT 4X4,0,7,1950000,106000,1,0,0,1,0
Tata Xenon XT EX 4X2,1,11,400000,80000,1,0,0,1,1
Nissan Terrano XL Plus 85 PS,1,9,550000,80000,1,0,0,1,1
Maruti Eeco 7 Seater Standard BSIV,0,5,270000,20000,0,1,0,1,1
Maruti Ertiga ZDI,1,11,555000,110000,1,0,0,1,1
Ford Ecosport 1.5 DV5 MT Ambiente,1,10,500000,60000,1,0,0,1,1
Skoda Laura Elegance 1.9 TDI  AT,1,13,400000,130000,1,0,0,1,0
Hyundai EON 1.0 Era Plus,0,6,280000,28838,0,1,0,1,1
Tata Indica GLS BS IV,0,15,80000,200000,0,1,0,1,1
Tata Indica DLS,0,17,55000,100000,1,0,0,1,1
Maruti Alto 800 LXI Airbag,0,9,250000,50000,0,1,0,1,1
Mahindra Bolero SLX 2WD,1,13,250000,190000,1,0,0,1,1
Mahindra Jeep MM 540,1,16,95000,100000,1,0,0,1,1
Mahindra Scorpio 1.99 S10,1,9,725000,135000,1,0,0,1,1
Mahindra Bolero Power Plus Plus AC BSIV PS,1,8,320000,50000,1,0,0,1,1
Skoda Octavia Elegance 2.0 TDI AT,1,9,1200000,135000,1,0,0,1,0
Chevrolet Beat Diesel LS,0,11,160000,50000,1,0,0,1,1
Honda Jazz 1.5 VX i DTEC,0,5,790000,19571,1,0,1,0,1
Honda City i-VTEC ZX,0,5,1200000,29600,0,1,1,0,1
Maruti Swift LXI,0,12,175000,70000,0,1,0,1,1
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,0,5,950000,15000,1,0,0,1,0
Maruti Celerio LXI MT BSIV,0,4,340000,50000,0,1,0,1,1
Renault Captur 1.5 Diesel RXT,0,6,825000,13500,1,0,0,1,1
Audi A4 30 TFSI Technology,0,5,3100000,22000,0,1,0,1,0
Honda Amaze VX Diesel BSIV,0,5,780000,25000,1,0,1,0,1
Toyota Corolla Altis 1.8 VL AT,1,13,350000,80000,0,1,0,1,0
Honda Amaze VX Petrol BSIV,0,5,690000,39000,0,1,1,0,1
Maruti Alto 800 VXI,0,7,245000,60000,0,1,0,1,1
Honda Amaze VX Diesel BSIV,0,5,790000,49000,1,0,1,0,1
Honda Amaze VX i-VTEC,0,5,680000,48600,0,1,1,0,1
Hyundai Grand i10 Asta Option,1,6,540000,20000,0,1,0,1,1
Mahindra KUV 100 mFALCON G80 K2,0,7,425000,25000,0,1,0,1,1
Maruti Zen Estilo Sports,0,15,140000,120000,0,1,0,1,1
Maruti Ertiga ZDI Plus,0,4,1100000,30000,1,0,0,1,1
Renault Lodgy 85PS RxL,0,8,715000,35000,1,0,0,1,1
Audi A4 3.0 TDI Quattro,0,10,1580000,86000,1,0,1,0,0
Audi Q3 2.0 TDI Quattro Premium Plus,0,8,1750000,127643,1,0,1,0,0
Tata Zest Revotron 1.2T XMS,1,5,400000,54000,0,1,1,0,1
Audi A6 2.0 TDI  Design Edition,0,9,1750000,102354,1,0,1,0,0
Audi Q5 2.0 TFSI Quattro Premium Plus,0,9,1850000,62237,0,1,1,0,0
Hyundai Santro Xing XL eRLX Euro III,1,18,114999,90000,0,1,1,0,1
Ford EcoSport 1.5 TDCi Titanium BSIV,0,5,950000,21394,1,0,1,0,1
Datsun GO T Petrol,0,8,310000,32686,0,1,1,0,1
Mahindra Jeep CJ 500 DI,0,17,575000,1001,1,0,1,0,1
Renault Pulse RxZ,0,6,490000,22000,1,0,1,0,1
Hyundai Grand i10 Magna,0,6,480000,53261,0,1,1,0,1
Land Rover Discovery Sport SD4 HSE Luxury,0,7,3500000,53000,1,0,1,0,0
Renault KWID 1.0 RXT Optional,0,5,370000,10000,0,1,1,0,1
Maruti Baleno Alpha 1.3,0,6,835000,14000,1,0,1,0,1
Volkswagen Polo 2015-2019 1.2 MPI Highline,0,6,650000,44000,0,1,1,0,1
Toyota Etios VD,0,9,670000,39895,1,0,1,0,1
Chevrolet Cruze LTZ AT,0,6,950000,73000,1,0,1,0,0
Honda City i-VTEC SV,0,9,690000,17000,0,1,1,0,1
Volkswagen Polo 2015-2019 1.2 MPI Highline,0,6,670000,18591,0,1,1,0,1
Tata Nexon 1.5 Revotorq XZ,0,6,925000,26766,1,0,1,0,1
Hyundai EON Magna Plus,0,8,250000,30000,0,1,0,1,1
Tata Sumo Gold EX,0,7,509999,42000,1,0,0,1,1
Honda City i DTEC VX,0,9,520000,110000,1,0,0,1,1
Tata Indica DLE,0,18,100000,100000,1,0,0,1,1
Tata Indica DLS,1,17,85000,300000,1,0,0,1,1
Tata Indigo LX,1,14,130000,110000,1,0,0,1,1
Ford EcoSport 1.5 TDCi Titanium BSIV,0,5,950000,27620,1,0,1,0,1
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,0,8,450000,70000,0,1,0,1,1
Honda City S,1,11,320000,50000,0,1,0,1,1
Maruti Swift Dzire VDI,0,8,480000,50000,1,0,0,1,1
Mercedes-Benz New C-Class C 220 CDI Grand Edition,0,9,2490000,46000,1,0,0,1,0
Toyota Innova 2.5 VX 8 STR,0,11,790000,82000,1,0,0,1,1
Maruti Omni MPI STD BSIV,0,7,120000,120000,0,1,0,1,1
Maruti Alto LXi,1,17,75000,80000,0,1,0,1,1
Tata Indica GLS BS IV,0,13,99000,70000,0,1,0,1,1
Maruti S-Cross Zeta DDiS 200 SH,0,5,1015000,20000,1,0,0,1,1
Mahindra Xylo D4 BSIV,1,10,250000,200000,1,0,0,1,1
Toyota Innova Crysta 2.5 VX BS IV,0,12,520000,120000,1,0,0,1,1
Hyundai Verna CRDi 1.6 AT SX Option,0,5,1100000,30000,1,0,0,1,0
Toyota Innova 2.5 V Diesel 7-seater,0,18,200000,223000,1,0,0,1,1
Maruti Swift Dzire VDI,0,7,525000,60000,1,0,0,1,1
Hyundai i20 Asta 1.2,0,7,500000,40000,0,1,0,1,1
Mahindra Scorpio S2 7 Seater,0,7,675000,161327,1,0,0,1,1
Hyundai i10 Magna 1.2 iTech SE,1,14,150000,60000,0,1,0,1,1
Mahindra Bolero DI,0,16,250000,50000,1,0,0,1,1
Hyundai Grand i10 1.2 Kappa Sportz BSIV,0,5,450000,6000,0,1,0,1,1
Hyundai Santro Xing XS,1,14,150000,68000,0,1,0,1,1
Chevrolet Beat Diesel LS,0,11,200000,85000,1,0,0,1,1
Mahindra Scorpio VLS AT 2.2 mHAWK,0,12,525000,70000,1,0,0,1,0
Maruti Esteem VX,1,24,60000,35000,0,1,0,1,1
Maruti Swift Vdi BSIII,1,13,180000,100000,1,0,0,1,1
Honda Amaze S i-Dtech,0,8,475000,110000,1,0,0,1,1
Mahindra Scorpio VLS AT 2.2 mHAWK,1,13,380000,195000,1,0,0,1,0
Maruti Alto 800 LXI,1,8,285000,46000,0,1,0,1,1
Maruti Alto LXi BSIII,1,15,91200,60000,0,1,0,1,1
Datsun RediGO T Option,0,6,250000,46000,0,1,0,1,1
Hyundai Grand i10 CRDi Sportz,0,8,400000,42000,1,0,0,1,1
Hyundai Santro Xing XG AT,1,17,160000,90000,0,1,0,1,0
Skoda Yeti Ambition 4X2,1,11,650000,85000,1,0,0,1,1
Hyundai Verna 1.6 SX,1,11,409999,120000,1,0,0,1,1
Ford Ecosport 1.5 DV5 MT Titanium,0,10,425000,72000,1,0,0,1,1
Maruti Wagon R LXI CNG,1,10,250000,71000,0,0,0,1,1
Maruti Swift Dzire VXi,1,14,200000,110000,0,1,0,1,1
Maruti Wagon R LXI CNG,1,10,250000,71000,0,0,0,1,1
Volkswagen Polo Diesel Trendline 1.2L,1,13,130000,144000,1,0,0,1,1
Maruti Eeco 5 Seater AC BSIV,0,6,260000,30000,0,1,1,0,1
Hyundai Verna SX,0,16,155000,65000,0,1,1,0,1
Honda Jazz 1.5 VX i DTEC,0,8,450000,38000,1,0,0,1,1
Maruti SX4 Celebration Petrol,1,11,220000,90000,0,1,0,1,1
Hyundai i20 Active S Diesel,0,5,650000,37000,1,0,1,0,1
Maruti Alto 800 LXI,0,5,285000,30000,0,1,1,0,1
Honda Amaze V CVT Petrol BSIV,0,5,725000,26000,0,1,1,0,0
Maruti Ciaz ZXi,0,7,625000,30000,0,1,1,0,1
Hyundai i20 Active SX Petrol,0,7,550000,23000,0,1,1,0,1
Hyundai i10 Magna,0,11,240000,40000,0,1,1,0,1
Nissan Terrano XL 85 PS,0,9,600000,27000,1,0,1,0,1
Tata New Safari DICOR 2.2 EX 4x2,0,11,350000,65000,1,0,1,0,1
Hyundai EON Magna Plus,0,8,245000,32000,0,1,1,0,1
Mahindra Bolero B6,0,7,600000,56000,1,0,1,0,1
BMW X1 sDrive 20d xLine,0,6,2400000,30000,1,0,0,1,0
Mahindra Scorpio SLE BS IV,0,9,620000,80000,1,0,1,0,1
Maruti Swift Dzire 1.2 Vxi BSIV,1,9,395000,52000,0,1,1,0,1
Maruti Ertiga ZXI,0,9,635000,13250,0,1,1,0,1
Maruti Alto LX,0,12,180000,36000,0,1,1,0,1
Maruti Swift ZDI Plus,1,8,484999,73000,1,0,1,0,1
Maruti Alto LX,0,19,110000,60000,0,1,0,1,1
Maruti Wagon R VXI BSIII,1,17,150000,60000,0,1,0,1,1
Chevrolet Tavera Neo 2 LT L 9 Str,0,11,400000,110000,1,0,0,1,1
Tata Indica Vista Aura Plus 1.3 Quadrajet,1,11,200000,70000,1,0,0,1,1
Renault Duster 85PS Diesel RxL Plus,1,10,302000,60000,1,0,0,1,1
Maruti Swift Dzire Vdi BSIV,1,12,215000,90000,1,0,0,1,1
Maruti Wagon R VXI BSIII,1,19,155000,80000,0,1,0,1,1
Toyota Innova 2.5 G (Diesel) 8 Seater,1,9,1000000,101000,1,0,0,1,1
Mahindra Bolero Power Plus SLX,0,5,550000,44000,1,0,0,1,1
Maruti Swift 1.3 VXi,0,17,200000,45000,0,1,0,1,1
Mahindra Scorpio S2 7 Seater,0,6,750000,120000,1,0,0,1,1
Maruti Zen LXI,1,18,90000,90000,0,1,0,1,1
Maruti Wagon R LXI Minor,1,16,80000,120000,0,1,0,1,1
Hyundai EON D Lite Plus,0,10,229999,13500,0,1,0,1,1
Renault KWID 1.0 RXT Optional,0,6,350000,10000,0,1,0,1,1
Hyundai Grand i10 Magna,1,8,325000,25000,0,1,0,1,1
Tata Tigor 1.2 Revotron XT,0,5,450000,8500,0,1,0,1,1
Maruti SX4 Celebration Diesel,0,11,250000,120000,1,0,0,1,1
Volkswagen Polo Diesel Comfortline 1.2L,0,11,225000,120000,1,0,0,1,1
Maruti Alto LXi,1,14,150000,90246,0,1,0,1,1
Maruti Alto LX BSIII,1,15,110000,90000,0,1,0,1,1
Maruti Alto LXi BSIII,1,13,150000,40000,0,1,0,1,1
Maruti Gypsy King Hard Top,1,23,165000,60000,0,1,0,1,1
Renault Duster 85PS Diesel RxL,1,6,610000,32000,1,0,0,1,1
Tata Manza Club Class Quadrajet90 VX,0,10,170000,60400,1,0,0,1,1
Hyundai Verna CRDi,1,15,150000,70950,1,0,0,1,1
Hyundai i20 Asta 1.4 CRDi,0,10,300000,90000,1,0,0,1,1
Hyundai Xcent 1.1 CRDi Base,0,8,375000,72000,1,0,0,1,1
Maruti Swift VDI,0,10,390000,90000,1,0,0,1,1
Hyundai i20 Active 1.2 S,0,6,600000,10000,0,1,0,1,1
Maruti Alto 800 LXI,1,9,204999,25000,0,1,0,1,1
Hyundai Verna CRDi,1,14,270000,80000,1,0,0,1,1
Hyundai Grand i10 Sportz,0,6,375000,10000,0,1,0,1,1
Maruti Baleno Zeta,0,3,700000,1100,0,1,0,1,1
Maruti Swift VXI Deca,0,6,455000,40000,0,1,0,1,1
Hyundai i10 Sportz 1.1L,0,6,375000,10000,0,1,0,1,1
Hyundai Grand i10 Asta,0,9,341000,31491,0,1,0,1,1
Maruti Swift Dzire VDI,1,9,200000,107143,1,0,0,1,1
Maruti Ignis 1.2 AMT Delta BSIV,0,6,450000,15000,0,1,0,1,0
Hyundai Santro Xing GL Plus,1,11,170000,50000,0,1,0,1,1
Toyota Innova Crysta 2.4 VX MT 8S BSIV,0,6,1900000,100000,1,0,0,1,1
Mahindra Bolero Power Plus LX,0,7,500000,60000,1,0,0,1,1
Maruti Vitara Brezza ZDi Plus,0,7,819999,85000,1,0,0,1,1
Maruti Swift 1.2 DLX,1,9,351000,40000,0,1,0,1,1
Hyundai i10 Magna 1.2 iTech SE,1,12,195000,80000,0,1,0,1,1
Maruti Swift Dzire VDi,1,15,250000,82000,1,0,0,1,1
Maruti Zen Estilo 1.1 VXI BSIII,1,15,120000,70000,0,1,0,1,1
Maruti A-Star Vxi,1,14,180000,70000,0,1,0,1,1
Mahindra KUV 100 mFALCON D75 K6,0,7,430000,20000,1,0,0,1,1
Tata Nano Cx BSIV,1,11,75000,35000,0,1,0,1,1
Mahindra Xylo D4,0,6,750000,80000,1,0,0,1,1
Tata Nano Lx,0,12,60000,40000,0,1,0,1,1
Toyota Innova 2.5 VX (Diesel) 8 Seater,0,8,1500000,46412,1,0,0,1,1
Mahindra Bolero SLX 2WD BSIII,1,12,390000,150000,1,0,0,1,1
Mahindra TUV 300 T4,0,7,630000,50000,1,0,0,1,1
Tata Safari Storme VX Varicor 400,0,5,1085000,15000,1,0,0,1,1
Hyundai i10 Magna 1.2 iTech SE,1,11,190000,60000,0,1,0,1,1
Maruti Baleno Delta Automatic,0,5,550000,25000,0,1,0,1,0
Maruti Alto 800 LXI,1,11,200000,90000,0,1,0,1,1
Chevrolet Spark 1.0 LT,0,12,165000,60000,0,1,0,1,1
Ford Figo Diesel Celebration Edition,0,10,260000,65000,1,0,0,1,1
Maruti Alto LX,0,12,151000,40000,0,1,0,1,1
Maruti Vitara Brezza VDi,0,5,780000,50000,1,0,0,1,1
Tata Indica Vista Quadrajet LX,1,11,175000,80000,1,0,0,1,1
Tata Indica Vista TDI LS,0,13,170000,107500,1,0,1,0,1
Tata Indica Vista TDI LS,1,10,210000,135000,1,0,1,0,1
Maruti Alto LXi,1,16,90000,43826,0,1,1,0,1
Hyundai i20 Active S Petrol,0,7,535000,55838,0,1,1,0,1
Maruti Swift VDI BSIV,0,16,195000,112880,1,0,1,0,1
Tata Indica Vista Terra Quadrajet 1.3L,1,12,140000,90000,1,0,0,1,1
Nissan Sunny XL,0,11,350000,40000,0,1,0,1,1
Hyundai Verna 1.6 SX VTVT (O),0,10,425000,66000,0,1,0,1,1
Renault KWID 1.0 RXT Optional,0,6,300000,30300,0,1,0,1,1
Volkswagen Vento Diesel Style Limited Edition,1,10,340000,85000,1,0,0,1,1
Maruti Swift Dzire VXi,0,14,250000,80659,0,1,1,0,1
Chevrolet Aveo 1.4 LS,0,15,170000,81324,0,1,1,0,1
Honda Amaze S i-Dtech,0,10,315000,127884,1,0,1,0,1
Chevrolet Beat PS,0,8,200000,50000,0,1,0,1,1
Chevrolet Beat PS,0,7,300000,25000,0,1,0,1,1
Honda Amaze S i-Dtech,0,8,300000,66755,1,0,1,0,1
Honda City E,0,10,380000,123084,0,1,1,0,1
Maruti Swift VXI BSIII,0,14,250000,806599,0,1,1,0,1
Honda Amaze S i-Dtech,0,10,310000,95851,1,0,1,0,1
Maruti Wagon R VXI Minor ABS,0,13,260000,50000,0,1,0,1,1
Maruti Omni BSIII 8-STR W/ IMMOBILISER,1,15,150000,50000,0,1,0,1,1
Maruti Esteem Vxi - BSIII,1,17,85000,60000,0,1,0,1,1
Maruti Alto 800 LXI,1,8,280000,15000,0,1,0,1,1
Mahindra Xylo H4 ABS,0,7,850000,40000,1,0,0,1,1
Datsun GO Plus T Option BSIV,1,6,375000,20000,0,1,0,1,1
Hyundai Elantra CRDi (Leather Option),1,17,125000,120000,1,0,0,1,1
Chevrolet Beat Diesel LT,0,11,250000,110000,1,0,0,1,1
Toyota Corolla Altis D-4D J,0,9,715000,234000,1,0,0,1,1
Hyundai i20 1.4 CRDi Era,0,12,220000,70000,1,0,0,1,1
Tata Indica Vista Aqua 1.3 Quadrajet,1,13,110000,110000,1,0,0,1,1
Hyundai Verna XXi (Petrol),1,16,150000,84000,0,1,0,1,1
Nissan Sunny Diesel XV,0,11,300000,170000,1,0,0,1,1
Datsun RediGO T Option,0,6,220000,40000,0,1,0,1,1
Maruti Wagon R LX,1,17,75000,96000,0,1,0,1,1
Tata Indigo LS,0,14,100000,20000,1,0,0,1,1
Ford Figo Aspire 1.2 Ti-VCT Trend,0,7,380000,15000,0,1,0,1,1
Hyundai Santro Xing XK (Non-AC),0,16,100000,50000,0,1,0,1,1
Volkswagen Passat 1.8 TSI MT,1,13,480000,80000,0,1,0,1,1
Toyota Etios GD,0,11,300000,124000,1,0,0,1,1
Chevrolet Beat Diesel LS,0,10,190000,70000,1,0,0,1,1
Ford Figo Diesel LXI,1,11,190000,130000,1,0,0,1,1
Ford EcoSport 1.5 Ti VCT MT Trend BSIV,0,6,650000,19014,0,1,1,0,1
Toyota Corolla Executive (HE),0,14,300000,23262,0,1,1,0,1
Ford Freestyle Titanium Diesel BSIV,0,7,700000,29600,1,0,1,0,1
Hyundai i10 Sportz 1.1L,0,8,310000,35925,0,1,1,0,1
Maruti Ignis 1.2 Zeta BSIV,0,5,500000,12000,0,1,0,1,1
Toyota Etios V,0,10,415000,40771,0,1,1,0,1
Maruti Celerio VXI AT,1,8,395000,30500,0,1,1,0,0
Toyota Etios Liva 1.2 G,1,9,430000,42000,0,1,1,0,1
Toyota Corolla H6,1,16,215000,55800,0,1,1,0,1
Renault Duster RXL AWD,0,9,550000,66569,1,0,1,0,1
Volkswagen Polo 1.5 TDI Trendline,0,9,415000,81358,1,0,1,0,1
Volkswagen Polo 1.5 TDI Comfortline,0,8,450000,82695,1,0,1,0,1
Ford Figo Diesel EXI,1,9,285000,68293,1,0,1,0,1
Honda Jazz VX CVT,0,7,580000,32000,0,1,1,0,0
Maruti Swift Dzire Tour LDI,0,9,300000,190621,1,0,1,0,1
Hyundai Verna CRDi 1.6 SX Option,0,5,1200000,60000,1,0,0,1,1
Maruti 800 Std MPFi,0,17,78000,64700,0,1,0,1,1
Maruti 800 AC,1,21,65000,100000,0,1,0,1,1
Tata Zest Quadrajet 1.3 75PS XE,0,7,400000,88470,1,0,0,1,1
Hyundai Verna 1.6 CRDI SX Option,0,7,850000,75000,1,0,0,1,1
Volkswagen Vento Diesel Highline,1,10,450000,120000,1,0,0,1,1
Mercedes-Benz E-Class E250 CDI Blue Efficiency,0,11,2500000,35000,1,0,0,1,0
Toyota Etios 1.4 VXD,0,6,780000,70000,1,0,0,1,1
Toyota Fortuner 2.8 2WD AT BSIV,0,6,3200000,57000,1,0,0,1,0
Maruti Alto 800 VXI,0,3,350000,1000,0,1,0,1,1
Mahindra Quanto C6,1,10,285000,120000,1,0,0,1,1
Volkswagen Vento 1.5 TDI Highline,0,8,525000,98000,1,0,1,0,1
Maruti Ciaz ZDi,1,9,550000,90000,1,0,1,0,1
Volkswagen Ameo 1.5 TDI Comfortline,0,5,580000,70000,1,0,0,1,1
Tata Nano CX SE,1,10,75000,25000,0,1,0,1,1
Tata Manza Aura Quadrajet,1,14,185000,60000,1,0,0,1,1
Maruti Omni E 8 Str STD,1,16,110000,90000,0,1,0,1,1
Honda City 1.5 EXI,1,19,180000,200000,0,1,0,1,1
Volkswagen Polo Diesel Comfortline 1.2L,1,13,350000,110000,1,0,0,1,1
Chevrolet Optra 1.6 LS,1,18,60000,126000,0,1,0,1,1
Mahindra TUV 300 T10,0,5,695000,70000,1,0,0,1,1
Mahindra Alturas G4 4X2 AT BSIV,0,4,2700000,5000,1,0,0,1,0
Maruti Zen Estilo LX BSIII,1,16,135000,74183,0,1,0,1,1
Mahindra Bolero Power Plus Plus AC BSIV PS,1,8,640000,70000,1,0,0,1,1
Maruti Alto 800 VXI,0,9,160000,90000,0,1,0,1,1
Tata Indica LXI,1,19,80000,46000,0,1,0,1,1
Maruti Swift Dzire VDI,1,10,340000,110000,1,0,0,1,1
Maruti Ritz VDi,1,11,110000,80000,1,0,0,1,1
Tata Sumo Gold EX,1,10,250000,90000,1,0,0,1,1
Toyota Innova Crysta 2.4 VX MT BSIV,0,6,1300000,70000,1,0,0,1,1
Mahindra Quanto C6,1,9,250000,1,1,0,0,1,1
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,0,14,450000,192000,1,0,0,1,1
Maruti Wagon R LX Minor,1,10,240000,70000,0,1,0,1,1
Mahindra Bolero DI DX 7 Seater,1,16,225000,120000,1,0,0,1,1
Maruti Wagon R VXI Optional,1,8,275000,60000,0,1,0,1,1
Tata Sumo Victa CX 7/9 Str BSII,1,11,320000,120000,1,0,0,1,1
Maruti Alto LX BSIII,0,15,75000,120000,0,1,0,1,1
Tata Indica GLS BS IV,1,16,85000,50000,0,1,0,1,1
Tata Indica Vista Aqua TDI BSIII,0,14,90000,120000,1,0,0,1,1
Maruti Wagon R LXI Minor,1,16,85000,80000,0,1,0,1,1
Mahindra Scorpio M2DI,1,15,350000,80000,1,0,0,1,1
Skoda Superb Elegance 2.0 TDI CR AT,1,14,355000,100000,1,0,0,1,0
Maruti Swift VXI,0,3,619000,1500,0,1,0,1,1
Jeep Compass 2.0 Longitude Option BSIV,0,5,1700000,50000,1,0,0,1,1
Tata Indica DL,1,17,55000,100000,1,0,0,1,1
Ford Fiesta 1.6 ZXi Leather,0,17,95000,83411,0,1,0,1,1
Volkswagen Vento Diesel Highline,1,12,300000,120000,1,0,0,1,1
Ford Fiesta 1.6 ZXi Leather,0,17,81000,83411,0,1,0,1,1
Skoda Superb Elegance 2.0 TDI CR AT,1,8,1000000,80000,1,0,0,1,0
Maruti Ertiga VDI,0,4,925000,50000,1,0,0,1,1
Mahindra Bolero Power Plus Plus AC BSIV PS,0,8,450000,40000,1,0,0,1,1
Mahindra Scorpio EX,0,9,600000,13270,1,0,0,1,1
Hyundai Santro Xing XL AT eRLX Euro III,1,17,85000,100000,0,1,0,1,0
Mahindra Thar DI 4X4 PS,0,7,700000,50000,1,0,0,1,1
Hyundai Grand i10 1.2 Kappa Magna BSIV,0,6,486000,26500,0,1,0,1,1
Maruti Swift VDI,0,10,400000,90000,1,0,0,1,1
Ford Fiesta 1.4 Duratec ZXI,1,15,120000,100000,0,1,0,1,1
Maruti Alto 800 LXI,0,5,275000,35000,0,1,0,1,1
Hyundai i20 Asta Option 1.4 CRDi,0,7,580000,57000,1,0,0,1,1
Maruti Swift Dzire LXI,0,8,375000,70000,0,1,0,1,1
Maruti Wagon R VXI BS IV with ABS,1,8,229999,100000,0,1,0,1,1
Maruti Alto LX,1,13,110000,88000,0,1,0,1,1
Maruti Swift Dzire VDI,0,6,600000,60000,1,0,0,1,1
Maruti A-Star Vxi,1,14,120000,76000,0,1,0,1,1
Ford Figo Diesel Titanium,1,13,200000,100000,1,0,0,1,1
Hyundai Verna 1.6 SX CRDi (O),1,11,450000,110000,1,0,0,1,1
Hyundai Verna 1.6 SX CRDi (O),1,11,550000,80000,1,0,0,1,1
Maruti Alto LX,1,11,220000,80000,0,1,0,1,1
Maruti 800 EX,0,22,40000,30000,0,1,0,1,1
Renault KWID Climber 1.0 AMT,0,6,300000,20000,0,1,0,1,0
Mahindra Bolero Power Plus SLE,0,5,630000,40000,1,0,0,1,1
Maruti Swift Dzire VDI,1,6,610000,40000,1,0,0,1,1
Hyundai Xcent 1.2 VTVT S,1,4,660000,7000,0,1,0,1,1
Maruti Wagon R LXI LPG BSIV,1,11,220000,80000,0,0,0,1,1
Nissan Micra Diesel XV Premium,1,12,138000,90000,1,0,0,1,1
Nissan Micra Diesel XV Premium,0,10,210000,13770,1,0,0,1,1
Maruti Zen LXi - BS III,0,18,125000,34000,0,1,1,0,1
Maruti Alto LXi BSIII,0,15,125000,102000,0,1,1,0,1
Honda City i DTEC SV,0,9,725000,110000,1,0,0,1,1
Maruti Alto K10 2010-2014 VXI,1,12,170000,90000,0,1,0,1,1
Toyota Innova 2.5 VX (Diesel) 7 Seater,1,8,1200000,70000,1,0,0,1,1
Maruti Wagon R VXI BSIII,1,20,70000,90000,0,1,0,1,1
Maruti Alto LXi,1,16,100000,70000,0,1,0,1,1
Honda Civic 1.8 (E) MT,1,17,300000,80000,0,1,0,1,1
Maruti Swift VDI,1,10,450000,100000,1,0,0,1,1
Maruti Swift Dzire VDI,0,8,530000,100000,1,0,0,1,1
